StudyHours,Attendance,PreviousScore,SleepHours,Result
1.7,49,52,5.6,Fail
3.4,44,59,8.1,Fail
5.8,71,63,7.4,Pass
1.9,58,98,5.5,Fail
3.5,39,63,6.4,Fail
4.6,77,98,7.8,Pass
3.0,47,86,7.7,Fail
2.2,96,31,8.7,Fail
1.9,38,28,5.1,Fail
5.1,36,62,5.6,Fail
1.3,66,23,7.6,Fail
2.5,51,72,8.8,Fail
4.2,78,60,3.5,Pass
2.1,95,80,3.4,Fail
3.5,56,82,5.7,Fail
5.5,97,22,7.5,Fail
1.1,57,65,3.7,Fail
4.1,49,62,8.4,Fail
1.1,100,72,5.9,Fail
1.3,38,97,5.5,Fail
5.0,53,54,4.3,Fail
2.0,38,55,6.9,Fail
5.1,87,69,3.3,Pass
3.7,34,75,6.7,Fail
2.0,69,63,6.6,Fail
2.3,94,88,8.4,Fail
5.4,64,62,6.4,Fail
3.1,43,67,4.3,Fail
4.5,91,64,3.9,Pass
2.9,93,58,7.3,Fail
2.8,99,94,7.0,Fail
3.9,88,82,7.4,Pass
3.6,79,57,4.2,Fail
2.6,98,56,3.5,Fail
2.9,96,87,7.4,Fail
4.9,84,27,7.4,Fail
5.2,66,68,5.9,Fail
4.3,71,43,4.0,Fail
3.4,99,26,4.0,Fail
4.2,73,96,4.7,Pass
5.0,91,58,7.0,Fail
3.3,61,93,6.8,Fail
5.4,100,90,8.6,Pass
5.0,70,47,4.5,Fail
3.3,69,48,5.9,Fail
4.8,75,54,7.8,Fail
4.9,68,68,8.7,Fail
5.7,58,48,8.5,Fail
4.3,55,98,3.3,Pass
5.4,34,93,4.0,Pass
2.0,84,60,6.7,Fail
2.4,48,76,5.5,Fail
5.2,33,52,8.0,Fail
4.8,49,88,7.7,Pass
1.3,68,98,7.0,Fail
5.2,54,64,7.5,Fail
4.4,37,83,8.9,Pass
5.0,35,68,6.2,Fail
4.5,63,83,6.1,Pass
4.7,56,84,7.3,Pass
5.4,51,72,7.7,Fail
2.0,71,62,5.0,Fail
2.9,37,49,4.2,Fail
3.8,63,23,5.0,Fail
5.6,61,55,8.6,Fail
5.8,90,63,4.4,Pass
3.9,34,83,7.3,Fail
2.5,30,52,3.9,Fail
5.7,51,46,3.4,Fail
4.0,31,45,3.0,Fail
5.9,65,84,4.9,Pass
2.1,30,40,7.0,Fail
5.0,57,48,7.3,Fail
5.4,49,82,6.8,Pass
3.7,40,62,7.2,Fail
5.2,41,74,5.1,Fail
4.8,87,90,5.5,Pass
4.4,73,53,3.8,Fail
3.3,77,95,6.1,Fail
4.3,64,47,7.4,Fail
1.4,43,23,4.1,Fail
3.7,84,100,3.7,Pass
3.4,62,34,7.9,Fail
3.6,63,50,8.3,Fail
2.3,34,56,3.8,Fail
3.7,41,51,3.1,Fail
3.7,50,51,6.2,Fail
4.6,44,54,8.9,Fail
5.5,30,84,4.4,Pass
3.5,57,59,6.0,Fail
1.1,95,75,5.9,Fail
1.9,74,81,5.5,Fail
5.4,54,29,4.1,Fail
3.1,36,84,3.7,Fail
4.7,91,35,8.9,Fail
4.2,42,38,4.2,Fail
3.4,52,44,6.0,Fail
1.5,87,94,5.2,Fail
3.4,51,28,6.0,Fail
3.7,48,33,4.0,Fail
4.0,87,42,6.7,Fail
3.5,63,44,4.6,Fail
2.5,79,33,4.3,Fail
1.1,100,24,3.5,Fail
3.8,68,36,4.2,Fail
4.3,90,53,7.3,Fail
4.0,30,28,8.1,Fail
1.3,82,37,4.1,Fail
5.6,51,45,8.1,Fail
5.8,86,67,4.5,Pass
1.3,51,55,4.7,Fail
2.7,31,84,8.1,Fail
1.0,35,26,7.1,Fail
1.5,87,43,4.3,Fail
4.6,55,39,3.9,Fail
5.5,97,97,5.1,Pass
5.2,52,74,8.1,Fail
1.2,95,34,4.0,Fail
3.4,97,32,8.3,Fail
3.0,38,68,6.6,Fail
1.3,100,46,7.2,Fail
3.5,50,93,8.5,Fail
1.1,81,99,6.6,Fail
1.9,69,67,7.5,Fail
4.0,68,80,3.5,Pass
4.0,99,25,4.2,Fail
5.4,86,94,8.3,Pass
5.5,55,47,8.9,Fail
2.6,84,83,5.7,Fail
4.8,65,84,7.6,Pass
2.8,44,61,4.3,Fail
3.6,47,57,5.3,Fail
4.7,94,67,4.2,Pass
5.7,73,28,8.2,Fail
2.7,41,73,6.3,Fail
5.2,84,63,6.0,Pass
1.2,93,61,8.6,Fail
2.4,52,97,4.8,Fail
3.7,39,70,7.8,Fail
2.5,45,91,8.4,Fail
1.8,77,76,6.4,Fail
4.4,85,70,8.6,Pass
5.4,85,79,6.4,Pass
1.6,82,76,4.9,Fail
5.5,89,68,3.3,Pass
3.4,70,67,6.6,Fail
3.7,58,75,6.3,Fail
1.6,45,76,3.6,Fail
2.4,72,51,4.2,Fail
5.3,78,63,6.7,Pass
5.6,30,95,6.2,Pass
5.8,97,96,4.7,Pass
3.0,52,57,8.8,Fail
4.1,48,55,5.5,Fail
3.9,38,24,4.4,Fail
1.9,72,27,3.4,Fail
3.9,66,70,3.7,Fail
2.0,63,78,7.7,Fail
2.7,100,39,6.3,Fail
4.6,48,38,6.1,Fail
5.0,89,61,5.3,Pass
4.5,78,88,8.2,Pass
